Title,Authors,"Year Published","Library Categories",Permalink,Status,"Publication File"
"A Botanical Materia Medica Vol. 4","Jonathan Stokes",1812,"Materia Medica",https://worldherblibrary.org/catalog/a-botanical-materia-medica-vol-4/,publish,https://api.worldherblibrary.org/pdf/A-botanical-materia-medica-vol-4-compressed.pdf
"A Brief Sketch Of The Ancient History Of Medicine","P. Lodwick Burchell",1878,History,https://worldherblibrary.org/catalog/a-brief-sketch-of-the-ancient-history-of-medicine/,publish,https://api.worldherblibrary.org/pdf/A-brief-sketch-of-the-ancient-history-of-medicine-compressed.pdf
"A brief sketch of the early history of medicine","P. Lodwick Burchell",1877,,https://worldherblibrary.org/catalog/a-brief-sketch-of-the-early-history-of-guelph/,publish,https://api.worldherblibrary.org/pdf/A-brief-sketch-of-the-ancient-history-of-medicine-compressed-1.pdf
"A Brief Treatise on Various Ailments and Their Treatment by Nature’s Remedies",,1895,"Herbal Medicine, Herbals",https://worldherblibrary.org/catalog/a-brief-treatise-on-various-ailments-and-their-treatment-by-natures-remedies/,publish,https://api.worldherblibrary.org/pdf/Gladstone-Herbal.pdf
"A catalogue of American and foreign plants cultivated in the Botanic Garden, Cambridge, Massachusetts","W. D. Peck, Professor of Natural History",1818,"Botanic Garden Catalogues",https://worldherblibrary.org/catalog/a-catalogue-of-american-and-foreign-plants-cultivated-in-the-botanic-garden-cambridge-massachusetts/,publish,https://api.worldherblibrary.org/pdf/A-catalogue-of-American-and-foreign-plants-cultivated-in-the-Botanic-Garden-Cambridge-Massachusetts-compressed.pdf
"A Catalogue Of Indian Medicinal Plants And Drugs","John Fleming",1810,Ayurveda,https://worldherblibrary.org/catalog/a-catalogue-of-indian-medicinal-plants-and-drugs/,publish,https://api.worldherblibrary.org/pdf/A-catalogue-of-Indian-medicinal-plants-and-drugs-with-their-names-in-the-Hindustani-and-Sanscrit-languages-compressed.pdf
"A Catalogue Of The British, Medicinal, Culinary, And Agricultural Plants","William Curtis",1782,"Medicinal Plants",https://worldherblibrary.org/catalog/a-catalogue-of-the-british-medicinal-culinary-and-agricultural-plants/,publish,https://api.worldherblibrary.org/pdf/A-catalogue-of-the-British-medicinal-culinary-and-agricultural-plants-compressed.pdf
"A Catalogue of the Fifty Plants, from Chelsea Garden","Stanesby Alchorne.",1771,Apothecary,https://worldherblibrary.org/catalog/a-catalogue-of-the-fifty-plants-from-chelsea-garden/,publish,https://api.worldherblibrary.org/pdf/A-Catalogue-of-the-Fifty-Plants-from-Chelsea-Garden-copy-compressed.pdf
"A Catalogue Of The Medicinal Plants, Indigenous And Exotic, Growing In The State Of New-York","Charles A. Lee",1848,"Medicinal Plants",https://worldherblibrary.org/catalog/a-catalogue-of-the-medicinal-plants-indigenous-and-exotic-growing-in-the-state-of-new-york/,publish,https://api.worldherblibrary.org/pdf/A-catalogue-of-the-medicinal-plants-indigenous-and-exotic-growing-in-the-state-of-New-York-compressed.pdf
"A Catalogue Of The Works Of Linnaeus","Benjamin Daydon Jackson",1907,"Carl Linnaeus",https://worldherblibrary.org/catalog/a-catalogue-of-the-works-of-linnaeus/,publish,https://api.worldherblibrary.org/pdf/A-catalogue-of-the-works-of-Linnaeus-compressed.pdf
"A Century Of American Medicine","Edward H. Clarke",1876,History,https://worldherblibrary.org/catalog/a-century-of-american-medicine/,publish,https://api.worldherblibrary.org/pdf/A-Century-of-American-medicine-1776-1876-compressed.pdf
"A Century of American medicine, 1776-1876","Edward H. Clarke, John S. Billings",1776,,https://worldherblibrary.org/catalog/a-century-of-american-medicine-1776-1876/,publish,https://api.worldherblibrary.org/pdf/A-Century-of-American-medicine-1776-1876-compressed-1.pdf
"A Cheap, Sure, and Ready Guide to Health: or, a Cure for a Disease call’d the Doctor.","The Benefaction of a very worthy Private Gentleman",1742,Apothecary,https://worldherblibrary.org/catalog/a-cheap-sure-and-ready-guide-to-health-or-a-cure-for-a-disease-calld-the-doctor/,publish,https://api.worldherblibrary.org/pdf/A-cheap-sure-and-ready-guide-to-health-copy-compressed.pdf
"A choice manual- or, rare and select secrets in physick and chirurgery","Countess of Kent",1726,"Herbal Medicine",https://worldherblibrary.org/catalog/a-choice-manual-or-rare-and-select-secrets-in-physick-and-chirurgery/,publish,https://api.worldherblibrary.org/pdf/A-choice-manual-or-rare-and-select-secrets-in-physick-and-chirurgery.pdf
"A Chronology Of Medicine – Ancient, Mediaeval, And Modern","John Morgan Richards",1880,History,https://worldherblibrary.org/catalog/a-chronology-of-medicine-ancient-mediaeval-and-modern/,publish,https://api.worldherblibrary.org/pdf/A-Chronology-of-medicine-ancient-mediaeval-and-modern-compressed.pdf
