Title,Authors,"Year Published","Library Categories",Permalink,Status,"Publication File"
"A text book of materia medica, pharmacology, and special therapeutics- with many new remedies","I. J. M. Goss, A.M., M.D.",1889,"Herbal Medicine",https://worldherblibrary.org/catalog/a-text-book-of-materia-medica-pharmacology-and-special-therapeutics-with-many-new-remedies/,publish,https://api.worldherblibrary.org/pdf/A-text-book-of-materia-medica-pharmacology-and-special-therapeutics-with-many-new-remedies-compressed.pdf
"A text-book of materia medica and pharmacy for medical students","V. E. Henderson",1911,,https://worldherblibrary.org/catalog/a-text-book-of-materia-medica-and-pharmacy-for-medical-students-2/,publish,https://api.worldherblibrary.org/pdf/A-text-book-of-materia-medica-and-pharmacy-for-medical-students-copy-compressed.pdf
"A text-book of materia medica and therapeutics","A. C. Cowperthwaite",1891,,https://worldherblibrary.org/catalog/,publish,https://api.worldherblibrary.org/pdf/A_Text_Book_of_Materia_Medica_Henry_G_Greenish_D_602p_.pdf
"A text-book of organic materia medica","ROBERT BENTLEY",1887,"Vegetable Drugs",https://worldherblibrary.org/catalog/a-text-book-of-organic-materia-medica/,publish,https://api.worldherblibrary.org/pdf/A-text-book-of-organic-materia-medica-copy-compressed.pdf
"A Toast To a Women","Virginia Ross Whitley",1918,"The Artistic Language of Flowers",https://worldherblibrary.org/catalog/a-toast-to-a-women/,publish,https://api.worldherblibrary.org/pdf/Favorite-Share-Flag-textsA-toast-to-woman-through-the-language-of-flowers-compressed.pdf
"A translation of Yoga-Vâsishta-Laghu – (the smaller)","K. Narayanswami Aiyer.",1896,Ayurveda,https://worldherblibrary.org/catalog/a-translation-of-yoga-vasishta-laghu-the-smaller/,publish,https://api.worldherblibrary.org/pdf/A-translation-of-Yoga-Vasishta-Laghu-the-smaller-compressed.pdf
"A Treatise Of The Great Antidote Of Paracelsus",Paracelsus,1666,Paracelsus,https://worldherblibrary.org/catalog/a-treatise-of-the-great-antidote-of-paracelsus/,publish,https://api.worldherblibrary.org/pdf/A-treatise-of-the-great-antidote-of-Paracelsus.-1666-compressed.pdf
"A Treatise of the Materia Medica vol 1","William Cullen, M. D",1789,"Materia Medica, Medical Botany",https://worldherblibrary.org/catalog/a-treatise-of-the-materia-medica-vol-1/,publish,https://api.worldherblibrary.org/pdf/A-treatise-of-the-materia-medica-vol-1-compressed.pdf
"A Treatise of the Materia Medica vol 2","William Cullen, M. D",1789,"Materia Medica, Medical Botany",https://worldherblibrary.org/catalog/a-treatise-of-the-materia-medica-vol-2/,publish,https://api.worldherblibrary.org/pdf/A-treatise-of-the-materia-medica-vol-2-copy-compressed.pdf
"A treatise on anatomy, physiology, and health","W. Beach, M.D.",1847,"Eclectic Medicine",https://worldherblibrary.org/catalog/a-treatise-on-anatomy-physiology-and-health/,publish,https://api.worldherblibrary.org/pdf/A-treatise-on-anatomy-physiology-and-health-compressed.pdf
"A Treatise On Headaches","John C. Peters",1853,Homeopathy,https://worldherblibrary.org/catalog/a-treatise-on-headaches/,publish,https://api.worldherblibrary.org/pdf/A-treatise-on-headaches-compressed.pdf
"A treatise on hemp, including a comprehensive account of the best modes of cultivation and preparation as practised in Europe, Asia, and America","Robert Wissett, Esq.",1808,Hemp,https://worldherblibrary.org/catalog/a-treatise-on-hemp-including-a-comprehensive-account-of-the-best-modes-of-cultivation-and-preparation-as-practised-in-europe-asia-and-america/,publish,https://api.worldherblibrary.org/pdf/A-treatise-on-hemp-including-a-comprehensive-account-of-the-best-modes-of-cultivation-and-preparation-as-practised-in-Europe-Asia-and-America-compressed.pdf
"A treatise on medical astrology","F. R. White and R. Hollingsworth",1899,"Medical Astrology",https://worldherblibrary.org/catalog/a-treatise-on-medical-astrology/,publish,https://api.worldherblibrary.org/pdf/A-treatise-on-medical-astrology-compressed.pdf
"A treatise on medical astrology",,18990000,,https://worldherblibrary.org/?post_type=whl_catalog&p=13996,draft,https://api.worldherblibrary.org/pdf/A-treatise-on-medical-astrology.pdf
"A treatise on pharmacy for students and pharmacists","Charles Caspari",1901,,https://worldherblibrary.org/?post_type=whl_catalog&p=323,draft,https://api.worldherblibrary.org/pdf/Atreatise_of_Pharmacy_for_Students_and_Pharmacists_Charles_Caspari_794p.pdf
"A Treatise on Poisons","Christison, R.",1844,Toxicology,https://worldherblibrary.org/catalog/a-treatise-on-poisons-in-relation-to-medical-jurisprudence-physiology-and-the-practice-of-physic/,publish,https://api.worldherblibrary.org/pdf/A-Treatise-on-Poisons-compressed.pdf
"A treatise on pulmonary consumption (phthisis pulmonalis), with remarks on bronchitis","W. Beach",1840,"Eclectic Medicine",https://worldherblibrary.org/catalog/a-treatise-on-pulmonary-consumption-phthisis-pulmonalis-with-remarks-on-bronchitis/,publish,https://api.worldherblibrary.org/pdf/A-treatise-on-pulmonary-consumption-phthisis-pulmonalis-with-remarks-on-bronchitis-compressed.pdf
"A treatise on the botanic theory and practice of medicine","A. N. Worthy, M. D.",1842,"Herbal Medicine",https://worldherblibrary.org/catalog/a-treatise-on-the-botanic-theory-and-practice-of-medicine/,publish,https://api.worldherblibrary.org/pdf/A-treatise-on-the-botanic-theory-and-practice-of-medicine-compressed.pdf
"A treatise on the diseases of the eye, as they appear in Hindustan","Thomas A. Wise, M.D.",1847,Ayurveda,https://worldherblibrary.org/catalog/a-treatise-on-the-diseases-of-the-eye-as-they-appear-in-hindustan/,publish,https://api.worldherblibrary.org/pdf/A-treatise-on-the-diseases-of-the-eye-as-they-appear-in-Hindustan-compressed.pdf
"A treatise on the eclectic southern practice of medicine","J. Cam Massie",1854,,https://worldherblibrary.org/catalog/,publish,https://api.worldherblibrary.org/pdf/A-treatise-on-the-eclectic-southern-practice-of-medicine-compressed.pdf
"A Treatise On The Eclectic Southern Practice Of Medicine","J. Cam. Massie",1854,"Eclectic Medicine",https://worldherblibrary.org/catalog/a-treatise-on-the-eclectic-southern-practice-of-medicine/,publish,https://api.worldherblibrary.org/pdf/A-treatise-on-the-eclectic-southern-practice-of-medicine-compressed-pages.pdf
"A Treatise on the principles and practice of Physio-Medical Surgery","Wm. H. Cook, M. D.",1858,Physio-Medical,https://worldherblibrary.org/catalog/a-treatise-on-the-principles-and-practice-of-physio-medical-surgery/,publish,https://api.worldherblibrary.org/pdf/A-treatise-on-the-principles-and-practice-of-physio-medical-surgery-compressed.pdf
"A True & Exact History of the Island of Barbadoes","Richard Ligon, Gent",1673,"Ethnobotany, Medicinal Plants",https://worldherblibrary.org/catalog/a-true-exact-history-of-the-island-of-barbadoes/,publish,https://api.worldherblibrary.org/pdf/A-true-exact-history-of-the-island-of-Barbadoes-compressed.pdf
"A universal formulary","R. Eglesfeld Griffith",1850,,https://worldherblibrary.org/catalog/,publish,https://api.worldherblibrary.org/pdf/A-universal-formulary-by-Griffith-R.-Eglesfeld-compressed.pdf
"A vindication of the Thomsonian system of the practice of medicine on botanical principles",,,,https://worldherblibrary.org/catalog/,publish,https://api.worldherblibrary.org/pdf/A-vindication-of-the-Thomsonian-system-of-the-practice-of-medicine-on-botanical-principles-compressed-1.pdf
"A Vindication Of The Thomsonian System Of The Practice Of Medicine On Botanical Principles","John Thomson",1825,"Medical Botany",https://worldherblibrary.org/catalog/a-vindication-of-the-thomsonian-system-of-the-practice-of-medicine-on-botanical-principles/,publish,https://api.worldherblibrary.org/pdf/A-vindication-of-the-Thomsonian-system-of-the-practice-of-medicine-on-botanical-principles-compressed.pdf
"A Vindication of the Thomsonian System of the Practice of Medicine on Botanical Principles","John Thomson",1825,"Thomsonian Botanic Medicine",https://worldherblibrary.org/catalog/a-vindication-of-the-thomsonian-system-of-the-practice-of-medicine-on-botanical-principles-2/,publish,https://api.worldherblibrary.org/pdf/A-vindication-of-the-Thomsonian-system-of-the-practice-of-medicine-on-botanical-principles-Copy-compressed.pdf
"A visit to a gñáni – or wise man of the East","Edward Carpenter",1911,Ayurveda,https://worldherblibrary.org/catalog/a-visit-to-a-gnani-or-wise-man-of-the-east/,publish,https://api.worldherblibrary.org/pdf/A-visit-to-a-gnani-or-wise-man-of-the-East.pdf
"A Yosemite Flora","Harvey Monroe Hall",1912,"Useful Plants",https://worldherblibrary.org/catalog/a-yosemite-flora/,publish,https://api.worldherblibrary.org/pdf/A-Yosemite-flora_-a-descriptive-account-of-the-ferns-and-flowering-plants-compressed.pdf
"A Yosemite flora a descriptive account of the ferns and flowering plants",,,,https://worldherblibrary.org/catalog/,publish,https://api.worldherblibrary.org/pdf/A-Yosemite-flora_-a-descriptive-account-of-the-ferns-and-flowering-plants-compressed-1.pdf
"Abacá (manila hemp)","H. T. Edwards",1910,Hemp,https://worldherblibrary.org/catalog/abaca-manila-hemp/,publish,https://api.worldherblibrary.org/pdf/Abaca-manila-hemp.pdf
"Abrotanum (Southernwood)  From Madaus,  Textbook of Medicinal Plants",,18450000,,https://worldherblibrary.org/?post_type=whl_catalog&p=13969,draft,https://api.worldherblibrary.org/pdf/Abrotanum-section-in-German-from-Madaus-FINAL-VERSION.pdf
"Abrotanum (Southernwood)  From Madaus,  Textbook of Medicinal Plants","Gerhard Madaus",1845,Translations,https://worldherblibrary.org/catalog/abrotanum-southernwood-from-madaus-textbook-of-medicinal-plants/,publish,https://api.worldherblibrary.org/pdf/SOUTHERNWOOD-Abrotanum-assembled-from-Chat-FINAL.pdf
"Abstracts of Chinese Medicines ACME Vol1 No2",,19870000,,https://worldherblibrary.org/?post_type=whl_catalog&p=14181,draft,https://api.worldherblibrary.org/pdf/Abstracts_of_Chinese_Medicines_ACME_Vol1_No2_211p-compressed.pdf
"Abstracts of Chinese Medicines ACME Vol1 No2",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=14188,draft,https://api.worldherblibrary.org/pdf/Abstracts_of_Chinese_Medicines_ACME_Vol1_No2_211p.pdf
"According to Season; Talks about the flowers in the order of their Appearance in the Woods and Fields","Frances Theodora Parsons",1902,"British Wildflowers",https://worldherblibrary.org/catalog/according-to-season-talks-about-the-flowers-in-the-order-of-their-appearance-in-the-woods-and-fields/,publish,https://api.worldherblibrary.org/pdf/According-to-season-talks-about-the-flowers-in-the-order-of-their-appearance-in-the-woods-and-fields-compressed.pdf
"Account Of A New Species Of Merium, The Leaves Of Which Yield Indigo","Nathaniel Wallich",1828,"Dye Plants",https://worldherblibrary.org/catalog/account-of-a-new-species-of-merium-the-leaves-of-which-yield-indigo/,publish,https://api.worldherblibrary.org/pdf/Account-of-a-new-species-of-merium-the-leaves-of-which-yield-indigo-compressed.pdf
Acetaria,"John Evelyn",1699,,https://worldherblibrary.org/catalog/acetaria-a-discourse-of-sallets/,publish,https://api.worldherblibrary.org/pdf/Acetaria_A_Discourse_of_Sallets_John_Evelyn.pdf
"Acta Phytotherapeutica April","E.F. Steinmetz",1954,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1954-24p-compressed.pdf
"Acta Phytotherapeutica April 1955 24p","E.F. Steinmetz",1817,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1955-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1955-24p.pdf
"Acta Phytotherapeutica April 1956 24p","E.F. Steinmetz",1849,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1956-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1956-24p.pdf
"Acta Phytotherapeutica April 1957 24p","E.F. Steinmetz",1873,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1957-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1957-24p.pdf
"Acta Phytotherapeutica April 1958","E.F. Steinmetz",1958,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1958/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1958-24p-compressed.pdf
"Acta Phytotherapeutica April 1958 24p",,,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1958-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1958-24p-compressed.pdf
"Acta Phytotherapeutica April 1959","E.F. Steinmetz",1959,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1959/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1959-24p-compressed.pdf
"Acta Phytotherapeutica April 1959 24p",,,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1959-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1959-24p-compressed.pdf
"Acta Phytotherapeutica April 1960","E.F. Steinmetz",1960,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1960/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1960-24p-compressed.pdf
"Acta Phytotherapeutica April 1961","E.F. Steinmetz",1961,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1961/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1961-24p-compressed.pdf
"Acta Phytotherapeutica April 1962","E.F. Steinmetz",1962,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1962/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1962-24p-compressed.pdf
"Acta Phytotherapeutica April 1962 24p",,,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1962-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1962-24p-compressed.pdf
"Acta Phytotherapeutica April 1963","E.F. Steinmetz",1963,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1963/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1963-24p-compressed.pdf
"Acta Phytotherapeutica April 1963 24p",,,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1963-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1963-24p-compressed.pdf
"Acta Phytotherapeutica April 1964","E.F. Steinmetz",1964,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1964/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1964-24p-compressed.pdf
"Acta Phytotherapeutica April 1965","E.F. Steinmetz",1965,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1965/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1965-24p-compressed.pdf
"Acta Phytotherapeutica April 1966","E.F. Steinmetz",1966,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1966/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1966-24p-compressed.pdf
"Acta Phytotherapeutica April 1967","E.F. Steinmetz",1967,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1967/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1967-24p-compressed.pdf
"Acta Phytotherapeutica April 1968","E.F. Steinmetz",1968,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1968/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1968-24p-compressed.pdf
"Acta Phytotherapeutica April 1970","E.F. Steinmetz",1970,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1970/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1970-24p-compressed.pdf
"Acta Phytotherapeutica April 1971","E.F. Steinmetz",1971,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1971/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1971-24p-compressed.pdf
"Acta Phytotherapeutica April 1971 24p",,,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1971-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1971-24p-compressed-1.pdf
"Acta Phytotherapeutica April 1972","E.F. Steinmetz",1972,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-april-1972/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-April-1972-24p-compressed.pdf
"Acta Phytotherapeutica December","E.F. Steinmetz",1954,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1954-24p-compressed.pdf
"Acta Phytotherapeutica December 1955 24p","E.F. Steinmetz",1818,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1955-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1955-24p.pdf
"Acta Phytotherapeutica December 1956 24p","E.F. Steinmetz",1848,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1956-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1956-24p.pdf
"Acta Phytotherapeutica December 1957 24p","E.F. Steinmetz",1820,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1957-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1957-24p.pdf
"Acta Phytotherapeutica December 1958","E.F. Steinmetz",1958,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1958/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1958-24p-compressed.pdf
"Acta Phytotherapeutica December 1958 24p",,,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1958-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1958-24p-compressed.pdf
"Acta Phytotherapeutica December 1959","E.F. Steinmetz",1959,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1959/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1959-24p-compressed.pdf
"Acta Phytotherapeutica December 1959 24p",,,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1959-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1959-24p-compressed.pdf
"Acta Phytotherapeutica December 1960","E.F. Steinmetz",1960,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1960/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1960-24p-compressed.pdf
"Acta Phytotherapeutica December 1961","E.F. Steinmetz",1961,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1961/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1961-24p-compressed.pdf
"Acta Phytotherapeutica December 1962","E.F. Steinmetz",1962,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1962/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1962-24p-compressed.pdf
"Acta Phytotherapeutica December 1962 24p",,,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1962-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1962-24p-compressed.pdf
"Acta Phytotherapeutica December 1963","E.F. Steinmetz",1963,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1963/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1963-24p-compressed.pdf
"Acta Phytotherapeutica December 1963 24p",,,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1963-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1963-24p-compressed.pdf
"Acta Phytotherapeutica December 1964","E.F. Steinmetz",1964,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1964/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1964-24p-compressed.pdf
"Acta Phytotherapeutica December 1965","E.F. Steinmetz",1965,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1965/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1965-24p-compressed.pdf
"Acta Phytotherapeutica December 1966","E.F. Steinmetz",1966,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1966/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1966-24p-compressed.pdf
"Acta Phytotherapeutica December 1967","E.F. Steinmetz",1967,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1967/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1967-24p-compressed.pdf
"Acta Phytotherapeutica December 1968","E.F. Steinmetz",1968,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1968/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1968-24p-compressed.pdf
"Acta Phytotherapeutica December 1970","E.F. Steinmetz",1970,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1970/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1970-24p-compressed.pdf
"Acta Phytotherapeutica December 1971","E.F. Steinmetz",1971,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-december-1971/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-December-1971-24p-compressed.pdf
"Acta Phytotherapeutica February","E.F. Steinmetz",1954,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1954-24p-compressed.pdf
"Acta Phytotherapeutica February 1955 24p","E.F. Steinmetz",1848,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1955-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1955-24p.pdf
"Acta Phytotherapeutica February 1956 24p","E.F. Steinmetz",1830,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1956-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1956-24p.pdf
"Acta Phytotherapeutica February 1957 24p","E.F. Steinmetz",1829,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1957-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1957-24p.pdf
"Acta Phytotherapeutica February 1958","E.F. Steinmetz",1958,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1958/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1958-24p-compressed.pdf
"Acta Phytotherapeutica February 1958 24p",,,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1958-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1958-24p-compressed.pdf
"Acta Phytotherapeutica February 1959","E.F. Steinmetz",1959,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1959/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1959-24p-compressed.pdf
"Acta Phytotherapeutica February 1959 24p",,,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1959-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1959-24p-compressed.pdf
"Acta Phytotherapeutica February 1960","E.F. Steinmetz",1960,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1960/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1960-24p-compressed.pdf
"Acta Phytotherapeutica February 1961","E.F. Steinmetz",1961,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1961/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1961-24p-compressed.pdf
"Acta Phytotherapeutica February 1962",,1962,"Herbal Medicine, Journals",https://worldherblibrary.org/?post_type=whl_catalog&p=2933,draft,
"Acta Phytotherapeutica February 1962 24p",,,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1962-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1962-24p-compressed.pdf
"Acta Phytotherapeutica February 1963","E.F. Steinmetz",1963,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1963/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1963-24p-compressed.pdf
"Acta Phytotherapeutica February 1963 24p",,,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1963-24p/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1963-24p-compressed.pdf
"Acta Phytotherapeutica February 1964","E.F. Steinmetz",1964,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1964/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1964-24p-compressed.pdf
"Acta Phytotherapeutica February 1965","E.F. Steinmetz",1965,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1965/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1965-24p-compressed.pdf
"Acta Phytotherapeutica February 1966","E.F. Steinmetz",1966,"Herbal Medicine, Journals",https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1966/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1966-24p-compressed.pdf
"Acta Phytotherapeutica February 1967","E.F. Steinmetz",1967,Journals,https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1967/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1967-24p-compressed.pdf
"Acta Phytotherapeutica February 1968","E.F. Steinmetz",1968,Journals,https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1968/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1968-24p-compressed.pdf
"Acta Phytotherapeutica February 1969","E.F. Steinmetz",1969,Journals,https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1969/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1969-22p-compressed.pdf
"Acta Phytotherapeutica February 1970","E.F. Steinmetz",1970,Journals,https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1970/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1970-24p-compressed.pdf
"Acta Phytotherapeutica February 1971","E.F. Steinmetz",1971,Journals,https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1971/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1971-24p-compressed.pdf
"Acta Phytotherapeutica February 1972","E.F. Steinmetz",1972,Journals,https://worldherblibrary.org/catalog/acta-phytotherapeutica-february-1972/,publish,https://api.worldherblibrary.org/pdf/Acta-Phytotherapeutica-February-1972-24p-compressed.pdf
